Object	        l       b       d       ed       HII    R       NHI    eNHI    NAlIII  eNAlIII  NSiIV  eNSiIV   NCIV   eNCIV    NOVI   eNOVI
HD_167402	2.27	-6.39	9.0	0.17	 ... 	0	20.99  0.13	nan     nan 	13.58  0.06	14.20  0.03	15.00  0.06
HD_168941	5.82	-6.31	6.8	0.17	 ... 	0	21.11  0.09	12.94  0.07	13.67  0.16	14.39  0.10	15.03  0.03
HD_165052	6.12	-1.48	1.9	0.08	 S25	2	21.36  0.10	13.40  0.06	13.66  0.33	13.96  0.06	13.89  0.06
HDE_31_5021	6.12	-1.33	1.4	0.16	 ... 	1	21.28  0.10	13.62  0.14	13.71  0.16	13.99  0.11	13.98  0.10
HD_163892	7.20	0.60	1.6	0.12	 ... 	0	21.32  0.10	12.82  0.05	nan    nan      13.33  0.13	13.42  0.36
HD_167771	12.70	-1.13	2.3	0.08	 S41	2	21.08  0.12	13.10  0.06	nan    nan      13.20  0.07	14.23  0.07
HD_157857	12.97	13.31	3.1	0.07	 ... 	0	21.30  0.09	13.08  0.09	13.55  0.08	14.28  0.06	14.20  0.07
HD_175876	15.28	-10.58	2.7	0.07	 ... 	0	21.04  0.11	13.09  0.02	13.22  0.15	13.51  0.15	14.14  0.12
HD_175754	16.39	-9.91	2.8	0.09	 ... 	0	21.04  0.10	13.17  0.01	13.65  0.01	14.14  0.01	14.06  0.12
HD_177989	17.81	-11.88	6.0	0.15	   a	0	20.95  0.09	13.39  0.03	13.80  0.01	14.47  0.08	14.31  0.06
HD_178487	25.79	-8.56	5.7	0.11	 ... 	0	21.15  0.10	nan    nan 	13.61  0.10	14.09  0.04	14.77  0.11
vZ_1128		42.50	78.69	10.0	0.04	 ... 	1	19.98  0.03	nan    nan 	13.83  0.05	14.44  0.06	14.48  0.02
HD_187282	55.62	-3.79	4.5	0.09	 ... 	0	21.38  0.15	13.22  0.07	nan    nan      14.59  0.21	14.39  0.10
HD_191877	61.57	-6.45	2.3	0.15	 ... 	0	20.89  0.10	nan    nan 	nan    nan      13.51  0.04	13.75  0.17
HDE_33_2407	64.28	3.11	2.6	0.14	 ... 	0	21.24  0.14	13.26  0.04	13.22  0.14	13.74  0.31	14.32  0.08
HD_187459	68.81	3.85	2.2	0.11	 ... 	0	nan    nan 	nan     nan	12.34  0.14	nan    nan      13.30  0.30
HD_190429	72.59	2.61	2.9	0.13	 ... 	0	nan    nan 	13.57  0.01	nan    nan      nan    nan      14.15  0.07
HD_190918	72.65	2.06	2.1	0.09	 ... 	2	21.40  0.10	13.70  0.03	nan    nan      nan    nan      14.09  0.05
HD_191765	73.45	1.55	1.7	0.09	 ... 	1	21.48  0.14	13.98  0.04	nan    nan      nan    nan      14.08  0.10
HD_201345	78.44	-9.54	2.2	0.09	 ... 	0	20.87  0.10	12.98  0.07	nan    nan      13.30  0.13	13.87  0.24
HD_219188	83.03	-50.17	2.1	0.14	 ... 	0	20.75  0.09	12.41  0.04	13.09  0.06	13.81  0.07	13.97  0.06
HD_199579	85.70	-0.30	1.4	0.06	S117	2	21.04  0.11	13.33  0.06	nan    nan	13.51  0.10	nan    nan	   
HD_195965	85.71	5.00	1.1	0.09	 ... 	1	20.90  0.09	12.60  0.13	12.78  0.09	nan    nan	13.23  0.13
HD_210809	99.85	-3.13	4.3	0.10	 ... 	0	21.25  0.07	13.26  0.09	12.62  0.11	13.09  0.09	14.08  0.10
HD_212044	100.64	-4.35	0.9	0.17	 ... 	0	21.00  0.07	12.94  0.45	nan    nan	nan    nan	13.82  0.23
HD_210839	103.83	2.61	1.1	0.14	 ... 	0	21.15  0.12	12.81  0.36	13.70  0.21	nan    nan	nan    nan	   
HD_218915	108.06	-6.89	5.0	0.10	 ... 	2	21.11  0.13	nan    nan      13.10  0.11	13.67  0.05	14.23  0.23
HD_224151	115.44	-4.64	1.4	0.14	 ... 	0	21.32  0.10	13.29  0.51	nan    nan      nan    nan	13.61  0.12
HD_5005A	123.13	-6.24	2.9	0.02	S184	1	21.40  0.10	13.12  0.06	nan    nan      13.88  0.17	nan    nan	   
HD_14434	135.08	-3.82	3.5	0.07	 ... 	0	21.45  0.08	13.04  0.04	nan    nan      13.94  0.21	nan    nan  
HD_34656	170.04	0.27	2.2	0.08	 ... 	0	nan    nan 	13.08  0.04	nan    nan      13.07  0.20	13.97  0.07
BD_+38_2182	182.16	62.21	4.5	0.07	 ... 	0	nan    nan 	12.86  0.05	13.55  0.08	13.97  0.04	14.10  0.07
HD_42088	190.04	0.48	2.0	0.08	S252	1	21.15  0.08	13.44  0.07	14.07  0.35	13.95  0.07	13.57  0.23
HD_39680	194.08	-5.88	2.6	0.07	 ... 	0	21.30  0.08	12.91  0.08	nan    nan      nan    nan      13.69  0.29
HD_45314	196.96	1.52	2.1	0.33	 ... 	3	21.04  0.09	12.48  0.05	nan    nan      13.72  0.04	14.44  0.03
HD_42401	197.64	-3.33	0.8	0.13	 ... 	0	nan    nan 	nan    nan 	nan    nan      nan    nan	nan    nan 
HD_47417	205.35	0.35	1.3	0.13	 ... 	3	21.13  0.09	13.33  0.08	nan    nan      13.95  0.07	14.06  0.15
HD_46150	206.31	-2.07	1.7	0.06	S275	2	21.25  0.12	13.30  0.05	nan    nan      13.77  0.03	13.78  0.10
HD_47360	207.33	-0.79	1.5	0.09	 ... 	3	21.46  0.08	13.16  0.03	13.37  0.17	14.01  0.07	13.86  0.25
HD_18100	217.93	-62.73	3.1	0.07	 ... 	1	20.14  0.07	12.71  0.05	13.10  0.04	13.58  0.02	13.77  0.12
HD_65079	217.87	15.93	1.0	0.14	 ... 	0	nan    nan 	nan    nan	13.23  0.29	13.89  0.32	13.65  0.15
HD_61347	230.60	3.79	4.4	0.09	 ... 	0	21.53  0.13	nan    nan      13.17  0.13	14.00  0.41	14.30  0.14
HD_58510	235.52	-2.47	2.5	0.24	 ... 	0	21.28  0.12	12.99  0.10	nan    nan	nan    nan 	14.15  0.12
HD_38666	237.29	-27.10	0.8	0.09	 ... 	0	19.84  0.08	12.01  0.05	12.16  0.05	12.88  0.02	13.82  0.02
HD_52463	238.90	-10.52	0.9	0.15	 ... 	0	nan    nan      13.02  0.21	12.75  0.16	13.10  016	nan    nan 
HD_63005	242.47	-0.93	5.4	0.07	 ... 	0	nan    nan      12.94  0.04	nan    nan 	14.03  0.10	14.27  0.06
HD_66788	245.43	2.05	4.3	0.09	 ... 	0	nan    nan      13.44  0.02	nan    nan	14.03  0.05	14.36  0.06
HD_69106	254.52	-1.33	1.5	0.13	 ... 	0	21.08  0.06	13.09  0.01	13.23  0.07	13.83  0.09	14.31  0.06
HD_100340	258.85	61.23	3.0	0.03	 ... 	0	20.47  0.06	12.88  0.07	13.31  0.09	13.83  0.02	14.22  0.14
HD_64760	262.06	-10.42	1.1	0.11	   b	0	20.22  0.08	13.69  0.11	13.44  0.06	13.96  0.04	14.08  0.02
HD_68273	262.80	-7.69	0.3	0.06	   b  nan	19.74  0.06	13.21  0.17	13.05  0.03	13.18  0.03	13.71  0.02
HD_42933	263.30	-27.68	0.8	0.13	 ... 	2	20.23  0.08	nan    nan      nan    nan      13.03  0.05	13.59  0.06
HD_74920	265.29	-1.95	3.6	0.29	   c	3	21.15  0.09	13.39  0.01	14.51  0.12	13.78  0.09	14.29  0.05
HD_74711	265.74	-2.61	1.2	0.15	   c	3	nan    nan      13.15  0.02	13.46  0.06	14.28  0.17	13.78  0.14
HD_89137	279.70	4.45	3.1	0.14	 ... 	0       nan    nan      12.94  0.13	13.00  0.12	13.65  0.15	13.96  0.17
HD_90087	285.16	-2.13	2.8	0.11	 ... 	0	21.15  0.06	12.81  0.03	nan    nan      13.43  0.09	14.06  0.06
HD_88115	285.32	-5.53	3.7	0.21	 ... 	0	21.02  0.11	13.30  0.03	nan    nan      13.74  0.34	14.15  0.30
HD_91651	286.55	-1.72	2.8	0.09	 ... 	0	21.15  0.06	13.69  0.05	13.89  0.07	14.03  0.05	14.50  0.08
HD_91597	286.86	-2.37	3.9	0.14	 ... 	1	21.40  0.06	nan    nan	nan    nan      nan    nan	14.49  0.02
HD_93129A	287.41	-0.57	2.8	0.09	   d	2	nan    nan      13.87  0.02	14.42  0.23	14.74  0.05	14.67  0.06
HD_93250	287.51	-0.54	2.3	0.05	   d	2	21.39  0.15	14.05  0.07	nan    nan	14.60  0.05	14.63  0.03
HD_93205	287.57	-0.71	3.3	0.06	   d	2	21.33  0.10	13.96  0.04	14.18  0.31	14.20  0.06	14.41  0.14
CPD_-59_2603	287.59	-0.69	3.5	0.08	   d	2	21.46  0.07	13.86  0.10	14.24  0.15	14.67  0.10	14.16  0.13
HDE_30_3308	287.60	-0.61	3.8	0.06	   d	2	21.45  0.09	13.89  0.04	14.30  0.17	14.55  0.06	14.76  0.07
HD_93146	287.67	-1.05	3.5	0.07	   d	1	21.18  0.09	14.05  0.05	nan    nan      14.70  0.09	14.79  0.02
HD_93206	287.67	-0.94	2.6	0.08	   d	2	21.34  0.11	13.92  0.02	nan    nan      14.57  0.03	14.81  0.02
HD_93222	287.74	-1.02	3.6	0.09	   d	1	nan    nan      13.82  0.05	nan    nan      14.34  0.02	14.71  0.05
HD_93843	288.24	-0.90	3.5	0.08	 ... 	0	21.33  0.08	13.48  0.05	13.50  0.02	13.98  0.05	14.38  0.05
HD_94493	289.02	-1.18	3.4	0.15	 ... 	1	21.11  0.09	nan    nan 	13.06  0.09	13.58  0.03	14.02  0.08
HD_96917	289.29	3.06	2.9	0.09	 ... 	0	21.23  0.11	13.39  0.06	13.57  0.15	14.29  0.06	14.61  0.21
HD_96670	290.20	0.40	3.8	0.17	 ... 	1	nan    nan      13.68  0.13	13.36  0.57	13.68  0.13	13.95  0.32
HD_96715	290.27	0.33	3.8	0.07	 ... 	1	21.20  0.16	13.07  0.12	13.50  0.04	14.07  0.15	14.44  0.13
HD_99890	291.75	4.43	3.5	0.15	 ... 	0	20.93  0.13	13.48  0.08	13.48  0.13	14.07  0.06	14.17  0.07
HD_100276	293.31	0.77	3.2	0.12	 ... 	0	21.19  0.09	nan    nan 	13.03  0.04	13.65  0.04	13.48  0.27
HD_99857	294.78	-4.94	3.5	0.11	 ... 	1	21.31  0.12	13.26  0.33	nan    nan	13.79  0.09	13.75  0.17
HD_101131	294.78	-1.62	2.0	0.07	 R62	2	nan    nan      13.71  0.04	13.91  0.09	13.83  0.03	14.16  0.03
HD_101190	294.78	-1.49	2.1	0.08	 R62	2	21.15  0.11	13.28  0.06	13.73  0.32	nan    nan	14.31  0.02
HDE_308813	294.80	-1.61	3.1	0.09	 R62	2	21.15  0.10	13.43  0.04	nan    nan	14.00  0.10	14.20  0.03
HD_100213	284.81	-4.14	2.6	0.08	 ... 	0	21.18  0.07	13.10  0.01	12.99  0.04	13.79  0.07	14.27  0.08
HD_101205	294.85	-1.65	2.4	0.08	 R62	2	21.20  0.07	13.69  0.04	13.96  0.20	14.05  0.06	14.42  0.07
HD_101298	294.94	-1.69	2.8	0.08	 R62	2	21.26  0.11	nan    nan      13.83  0.17	13.90  0.02	14.26  0.02
HD_101413	295.03	-1.71	2.4	0.08	 R62	1	21.23  0.13	13.52  0.06	14.00  0.21	13.94  0.09	14.28  0.05
HD_101436	295.04	-1.71	2.2	0.08	 R62	1	21.23  0.08	13.81  0.08	13.91  0.12	13.99  0.07	14.26  0.05
HD_102552	295.21	1.35	3.9	0.15	 ... 	0	nan    nan      13.16  0.05	13.27  0.13	13.24  0.23	13.61  0.18
HD_103779	296.85	-1.02	4.3	0.11	 ... 	1	21.16  0.10	nan    nan 	13.18  0.06	13.80  0.03	13.47  0.20
HD_104705	297.46	-0.34	5.0	0.09	 ... 	1	21.11  0.07	13.21  0.02	13.64  0.10	14.63  0.19	14.05  0.11
JL_212		303.63	-61.03	2.3	0.07	 ... 	0	nan    nan 	12.83  0.05	nan    nan	13.50  0.04	14.21  0.07
HD_112244	303.55	6.03	1.7	0.09	 ... 	0	21.08  0.08	nan    nan 	13.23  0.05	14.00  0.06	13.86  0.24
HD_116852	304.88	-16.13	4.6	0.12	 ... 	0	20.96  0.08	13.27  0.06	13.60  0.02	14.08  0.03	14.30  0.02
HD_115071	305.77	0.15	1.2	0.12	 ... 	0	21.38  0.10	13.51  0.01	13.13  0.35	nan    nan	14.10  0.08
HD_116781	307.05	-0.06	2.2	0.14	 ... 	0	nan    nan 	12.87  0.18	nan    nan      nan    nan      14.05  0.16
HD_116538	308.23	10.68	1.3	0.15	 ... 	0	nan    nan 	13.05  0.14	nan    nan      13.29  0.07	13.38  0.14
