#nid    ID    RA    DEC    l    b    S/N    z    MM_Ep130    N_Ep130
  1      2XMM-J141348.3+440014  213.4514   44.0039   83.8281   66.3534   27.8  0.089  53.8  20
  2             RXSJ00508+3536   12.7114   35.6119  122.7965  -27.2596   17.3  0.058   0.0  8
  3              QSO-B1215+303  184.4670   30.1168  188.8749   82.0529   25.2  0.130   0.0  3
  4                    RBS2005  351.4760   21.8872   97.9384  -36.7987   14.6  0.120   0.0  8
  5                 PG1211+143  183.5736   14.0537  267.5519   74.3150   21.5  0.080   0.0  4
  6     GALEX-J022614.4+001530   36.5603    0.2583  166.5701  -54.3763    9.6  0.615  10.2  3
  7                    4C25.01    4.9158   26.0479  114.0722  -36.2766   15.3  0.284   0.0  8
  8                     IO-AND   12.0791   39.6866  122.2786  -23.1812   36.2  0.134  12.4  5
  9                1ES1553+113  238.9294   11.1901   21.9089   43.9642   34.9  0.360  22.1  10
 10                    MRK1148   12.9782   17.4329  123.0933  -45.4387   19.6  0.064   0.0  8
 11                   NEWQZ026    3.1000  -10.3740   92.3171  -70.8880    5.4  0.228   0.0  3
 12                    MRK1179   38.3430   27.9370  148.8953  -29.7454    6.9  0.037   0.0  8
 13                     MRK352   14.9721   31.8270  125.0262  -31.0104    7.0  0.014   0.0  8
 14                 1H1613-097  243.8295   -9.6037    3.5308   28.4585    9.5  0.064   0.0  4
 15                1H-2129-624  324.0958  -62.4003  331.1426  -42.5230   35.6  0.058   0.0  4
 16             2DFGRSS393Z082   41.2532  -30.1229  226.5560  -64.9622    7.3  0.339   0.1  8
 17                    MRK-335    1.5812   20.2028  108.7632  -41.4245   33.4  0.025  70.9  9
 18    2MASS-J10155924-2748289  153.9968  -27.8080  265.6586   23.5932    5.3  0.100   0.0  4
 19    2MASS-J14042827+3353426  211.1178   33.8952   60.6928   72.9093    5.0  0.549   0.0  5
 20    2MASS-J14294076+0321257  217.4198    3.3572  351.8377   56.5929    5.3  0.253   0.7  4
 21    2MASS-J14312586+2442203  217.8578   24.7057   32.4153   67.4229   17.2  0.406  24.7  7
 22    2MASS-J15412146+2817063  235.3395   28.2851   44.8564   52.5683    7.8  0.375   0.0  4
 23    2MASX-J01013113+4229356   15.3798   42.4932  124.9137  -20.3398    7.4  0.190   0.0  1
 24    2MASX-J10053271-2417161  151.3863  -24.2878  261.2302   24.8511    6.7  0.153   0.0  4
 25    2MASX-J15442722+2743237  236.1136   27.7234   44.1266   51.8051    5.1  0.163   0.0  4
 26      2XMM-J100420.0+051300  151.0839    5.2168  234.1610   44.6222   11.4  0.161   2.5  8
 27                      3C263  174.9874   65.7970  134.1592   49.7440   37.4  0.646   0.0  4
 28                      3C273  187.2779    2.0524  289.9508   64.3600  105.7  0.158   0.0  7
 29                       3C48   24.4221   33.1598  133.9626  -28.7194   14.9  0.367   4.8  8
 30                       3C57   30.4882  -11.5425  173.0773  -67.2617   24.3  0.670   0.0  4
 31                     3C-66A   35.6650   43.0355  140.1430  -16.7669   23.8  0.444   0.0  5
 32                  4C--01.61  357.9838   -1.1536   91.6648  -60.3619   21.8  0.173   0.0  4
 33                   4C-13.41  151.8588   12.8156  225.1177   49.1204   10.2  0.240   0.0  8
 34                    AKN-564  340.6639   29.7254   92.1385  -25.3368    7.7  0.024   0.0  4
 35                 B0117-2837   19.8987  -28.3587  225.7307  -83.6507   23.1  0.348   0.0  4
 36                   B0120-28   20.6532  -28.7226  227.7754  -82.9332   16.5  0.436   0.0  4
 37                 CAL-F-COPY   75.7664  -66.5628  277.1769  -35.4212   16.9  0.064   0.0  2
 38             ESO-031--G-008   46.8979  -72.8340  290.3276  -40.7937    8.3  0.027   0.0  2
 39                 ESO-141-55  290.3090  -58.6703  338.1834  -26.7112   38.0  0.037   0.0  4
 40                 ESO265-G23  170.1996  -43.2642  285.9101   16.5917   10.3  0.056   0.0  2
 42                 ESO462-G09  305.4648  -31.2897   11.3254  -31.9488    7.9  0.019   0.0  4
 43                   FAIRALL9   20.9406  -58.8057  295.0729  -57.8266   40.0  0.047   0.0  4
 44             FBQSJ1010+3003  152.5029   30.0561  198.4271   54.6252   15.5  0.256   0.0  4
 45            FBQS.J1252+2913  193.1041   29.2226  117.1101   87.8946    5.5  0.823   0.0  6
 46      FBQS.J130451.4+245445  196.2142   24.9128  357.3653   86.2591    8.7  0.605   0.0  4
 47                FBS1526+659  231.8694   65.8028  101.7726   44.3768    7.7  0.345   0.0  2
 48        HB89-0107-025-NED05   17.5677   -2.3142  134.0292  -64.7794   11.4  0.956   1.0  8
 49              HB89-0202-765   30.5571  -76.3342  297.5486  -40.0452    8.1  0.389   0.0  4
 50              HB89-0232-042   38.7808   -4.0349  174.4627  -56.1555   17.5  1.437   0.1  6
 51              HB89.1259+281  195.3672   27.8518   51.5255   87.6607   11.4  0.243   0.0  10
 52                HE0056-3622   14.6558  -36.1014  293.7191  -80.8980   28.8  0.164   0.0  4
 53                HE0153-4520   28.8050  -45.1033  271.7958  -67.9750   27.5  0.451   0.0  4
 54                HE0226-4110   37.0633  -40.9541  253.9407  -65.7748   36.8  0.493   0.0  6
 55                HE0238-1904   40.1354  -18.8642  200.4801  -63.6337   26.9  0.631  23.1  10
 56                HE0241-3043   40.9069  -30.5134  227.4876  -65.2590   10.9  0.669   0.0  6
 57                HE0429-5343   67.6667  -53.6156  262.0805  -42.1721    8.9  0.040   0.0  2
 58                HE0435-5304   69.2117  -52.9803  261.0247  -41.3746   11.5  1.231   0.0  5
 59                HE2258-5524  345.4667  -55.1419  330.7246  -55.6697   18.4  0.141   0.0  4
 60                HE2259-5524  345.5934  -55.1409  330.6375  -55.7229   15.2  0.854   0.0  8
